/* DATA DESCRIPTION:
Citation:	Köhler, Peter; Nehrbass-Ahles, Christoph; Schmitt, Jochen; Stocker, Thomas F; Fischer, Hubertus (2017): Continuous record of the atmospheric greenhouse gas carbon dioxide (CO2), final spline-smoothed data of calculated radiative forcing (Version 1) [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.871271, 
	In supplement to: Köhler, P et al. (2017): A 156 kyr smoothed history of the atmospheric greenhouse gases CO2, CH4, and N2O and their radiative forcing. Earth System Science Data, 9(1), 363-387, https://doi.org/10.5194/essd-9-363-2017
New version:	Köhler, Peter; Nehrbass-Ahles, Christoph; Schmitt, Jochen; Stocker, Thomas F; Fischer, Hubertus (2017): Continuous record of the atmospheric greenhouse gas carbon dioxide (CO2), final spline-smoothed data of calculated radiative forcing (Version 2). PANGAEA, https://doi.org/10.1594/PANGAEA.876013
Related to:	Köhler, Peter; Nehrbass-Ahles, Christoph; Schmitt, Jochen; Stocker, Thomas F; Fischer, Hubertus (2017): Continuous records of the atmospheric greenhouse gases CO2, CH4, and N2O and their radiative forcing since the penultimate glacial maximum. Earth System Science Data Discussions, https://doi.org/10.5194/essd-2017-6
Comment:	Final spline with 156373 lines (-66 BP to 156306 BP).
Parameter(s):	AGE [ka BP] (Age) * GEOCODE * PI: Köhler, Peter (https://orcid.org/0000-0003-0904-8484, Peter.Koehler@awi.de, http://www.awi.de/en/about-us/organisation/staff/peter-koehler.html)
	Carbon dioxide, dry-air mole fraction [µmol/mol] (CO2) * PI: Köhler, Peter (https://orcid.org/0000-0003-0904-8484, Peter.Koehler@awi.de, http://www.awi.de/en/about-us/organisation/staff/peter-koehler.html) * COMMENT: µmol/mol = ppm
	Radiative forcing of atmospheric carbon dioxide [W/m**2] (dR_[CO2]) * PI: Köhler, Peter (https://orcid.org/0000-0003-0904-8484, Peter.Koehler@awi.de, http://www.awi.de/en/about-us/organisation/staff/peter-koehler.html) * COMMENT: = 5.35 * ln(CO2/(278 ppm))
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	312746 data points
*/
Age [ka BP]	CO2 [µmol/mol]	dR_[CO2] [W/m**2]
0.268	276.29	-0.033
0.269	276.28	-0.033
0.270	276.27	-0.033
0.271	276.26	-0.034
0.272	276.25	-0.034
0.273	276.24	-0.034
0.274	276.23	-0.034
0.275	276.22	-0.034
0.276	276.22	-0.034
0.277	276.21	-0.035
0.278	276.20	-0.035
0.279	276.20	-0.035
0.280	276.19	-0.035
0.281	276.19	-0.035
0.282	276.19	-0.035
0.283	276.18	-0.035
0.284	276.18	-0.035
0.285	276.18	-0.035
0.286	276.18	-0.035
0.287	276.18	-0.035
0.288	276.18	-0.035
0.289	276.18	-0.035
0.290	276.19	-0.035
0.291	276.19	-0.035
0.292	276.19	-0.035
0.293	276.20	-0.035
0.294	276.20	-0.035
0.295	276.21	-0.035
0.296	276.21	-0.035
0.297	276.22	-0.034
0.298	276.22	-0.034
0.299	276.23	-0.034
0.300	276.23	-0.034
0.301	276.24	-0.034
0.302	276.25	-0.034
0.303	276.25	-0.034
0.304	276.26	-0.034
0.305	276.27	-0.033
0.306	276.27	-0.033
0.307	276.28	-0.033
0.308	276.29	-0.033
0.309	276.30	-0.033
0.310	276.31	-0.033
0.311	276.32	-0.032
0.312	276.33	-0.032
0.313	276.34	-0.032
0.314	276.36	-0.032
0.315	276.37	-0.031
0.316	276.39	-0.031
0.317	276.40	-0.031
0.318	276.42	-0.031
0.319	276.44	-0.030
0.320	276.46	-0.030
0.321	276.48	-0.029
0.322	276.50	-0.029
0.323	276.52	-0.029
0.324	276.55	-0.028
0.325	276.57	-0.028
0.326	276.60	-0.027
0.327	276.63	-0.026
0.328	276.66	-0.026
0.329	276.69	-0.025
0.330	276.73	-0.025
0.331	276.76	-0.024
0.332	276.80	-0.023
0.333	276.85	-0.022
0.334	276.89	-0.021
0.335	276.93	-0.021
0.336	276.98	-0.020
0.337	277.04	-0.019
0.338	277.09	-0.018
0.339	277.15	-0.016
0.340	277.21	-0.015
0.341	277.27	-0.014
0.342	277.33	-0.013
0.343	277.40	-0.011
0.344	277.47	-0.010
0.345	277.55	-0.009
0.346	277.63	-0.007
0.347	277.70	-0.006
0.348	277.79	-0.004
0.349	277.87	-0.003
0.350	277.95	-0.001
0.351	278.04	0.001
0.352	278.13	0.003
0.353	278.22	0.004
0.354	278.31	0.006
0.355	278.41	0.008
0.356	278.50	0.010
0.357	278.60	0.011
0.358	278.69	0.013
0.359	278.79	0.015
0.360	278.88	0.017
0.361	278.98	0.019
0.362	279.08	0.021
0.363	279.18	0.023
0.364	279.27	0.024
0.365	279.37	0.026
0.366	279.47	0.028
0.367	279.56	0.030
0.368	279.66	0.032
0.369	279.75	0.034
0.370	279.85	0.035
0.371	279.94	0.037
0.372	280.03	0.039
0.373	280.13	0.041
0.374	280.22	0.042
0.375	280.31	0.044
0.376	280.39	0.046
0.377	280.48	0.047
0.378	280.56	0.049
0.379	280.65	0.051
0.380	280.73	0.052
0.381	280.81	0.054
0.382	280.89	0.055
0.383	280.96	0.057
0.384	281.04	0.058
0.385	281.11	0.060
0.386	281.18	0.061
0.387	281.25	0.062
0.388	281.32	0.064
0.389	281.39	0.065
0.390	281.45	0.066
0.391	281.51	0.067
0.392	281.57	0.068
0.393	281.63	0.069
0.394	281.68	0.070
0.395	281.74	0.071
0.396	281.79	0.072
0.397	281.84	0.073
0.398	281.88	0.074
0.399	281.93	0.075
0.400	281.97	0.076
0.401	282.01	0.077
0.402	282.05	0.077
0.403	282.09	0.078
0.404	282.12	0.079
0.405	282.16	0.079
0.406	282.19	0.080
0.407	282.21	0.080
0.408	282.24	0.081
0.409	282.26	0.081
0.410	282.28	0.082
0.411	282.30	0.082
0.412	282.32	0.083
0.413	282.34	0.083
0.414	282.35	0.083
0.415	282.36	0.083
0.416	282.37	0.083
0.417	282.38	0.084
0.418	282.38	0.084
0.419	282.39	0.084
0.420	282.39	0.084
0.421	282.39	0.084
0.422	282.38	0.084
0.423	282.38	0.084
0.424	282.37	0.083
0.425	282.36	0.083
0.426	282.35	0.083
0.427	282.34	0.083
0.428	282.33	0.083
0.429	282.31	0.082
0.430	282.29	0.082
0.431	282.27	0.082
0.432	282.25	0.081
0.433	282.23	0.081
0.434	282.21	0.080
0.435	282.19	0.080
0.436	282.16	0.079
0.437	282.13	0.079
0.438	282.10	0.078
0.439	282.07	0.078
0.440	282.04	0.077
0.441	282.01	0.077
0.442	281.98	0.076
0.443	281.94	0.075
0.444	281.91	0.075
0.445	281.87	0.074
0.446	281.84	0.073
0.447	281.80	0.073
0.448	281.76	0.072
0.449	281.72	0.071
0.450	281.68	0.070
0.451	281.64	0.070
0.452	281.60	0.069
0.453	281.55	0.068
0.454	281.51	0.067
0.455	281.47	0.066
0.456	281.42	0.065
0.457	281.38	0.065
0.458	281.34	0.064
0.459	281.29	0.063
0.460	281.25	0.062
0.461	281.20	0.061
0.462	281.16	0.060
0.463	281.11	0.060
0.464	281.07	0.059
0.465	281.03	0.058
0.466	280.99	0.057
0.467	280.94	0.056
0.468	280.90	0.056
0.469	280.86	0.055
0.470	280.82	0.054
0.471	280.78	0.053
0.472	280.74	0.053
0.473	280.71	0.052
0.474	280.67	0.051
0.475	280.63	0.050
0.476	280.60	0.050
0.477	280.56	0.049
0.478	280.53	0.048
0.479	280.50	0.048
0.480	280.47	0.047
0.481	280.43	0.047
0.482	280.41	0.046
0.483	280.38	0.046
0.484	280.35	0.045
0.485	280.32	0.045
0.486	280.30	0.044
0.487	280.27	0.044
0.488	280.25	0.043
0.489	280.22	0.043
0.490	280.20	0.042
0.491	280.18	0.042
0.492	280.16	0.041
0.493	280.14	0.041
0.494	280.12	0.041
0.495	280.11	0.040
0.496	280.09	0.040
0.497	280.08	0.040
0.498	280.06	0.040
0.499	280.05	0.039
0.500	280.04	0.039
0.501	280.03	0.039
0.502	280.02	0.039
0.503	280.01	0.038
0.504	280.00	0.038
0.505	279.99	0.038
0.506	279.99	0.038
0.507	279.98	0.038
0.508	279.98	0.038
0.509	279.98	0.038
0.510	279.97	0.038
0.511	279.97	0.038
0.512	279.97	0.038
0.513	279.97	0.038
0.514	279.97	0.038
0.515	279.97	0.038
0.516	279.98	0.038
0.517	279.98	0.038
0.518	279.98	0.038
0.519	279.99	0.038
0.520	279.99	0.038
0.521	280.00	0.038
0.522	280.01	0.038
0.523	280.01	0.039
0.524	280.02	0.039
0.525	280.03	0.039
0.526	280.04	0.039
0.527	280.05	0.039
0.528	280.06	0.039
0.529	280.07	0.040
0.530	280.08	0.040
0.531	280.09	0.040
0.532	280.10	0.040
0.533	280.12	0.041
0.534	280.13	0.041
0.535	280.14	0.041
0.536	280.16	0.041
0.537	280.17	0.042
0.538	280.19	0.042
0.539	280.20	0.042
0.540	280.22	0.042
0.541	280.23	0.043
0.542	280.25	0.043
0.543	280.26	0.043
0.544	280.28	0.044
0.545	280.29	0.044
0.546	280.31	0.044
0.547	280.33	0.045
0.548	280.34	0.045
0.549	280.36	0.045
0.550	280.38	0.046
0.551	280.39	0.046
0.552	280.41	0.046
0.553	280.43	0.047
0.554	280.45	0.047
0.555	280.46	0.047
0.556	280.48	0.048
0.557	280.50	0.048
0.558	280.51	0.048
0.559	280.53	0.048
0.560	280.55	0.049
0.561	280.56	0.049
0.562	280.58	0.049
0.563	280.60	0.050
0.564	280.61	0.050
0.565	280.63	0.050
0.566	280.64	0.051
0.567	280.66	0.051
0.568	280.67	0.051
0.569	280.69	0.051
0.570	280.70	0.052
0.571	280.71	0.052
0.572	280.73	0.052
0.573	280.74	0.052
0.574	280.75	0.053
0.575	280.76	0.053
0.576	280.78	0.053
0.577	280.79	0.053
0.578	280.80	0.054
0.579	280.81	0.054
0.580	280.82	0.054
0.581	280.83	0.054
0.582	280.84	0.054
0.583	280.85	0.055
0.584	280.86	0.055
0.585	280.87	0.055
0.586	280.88	0.055
0.587	280.89	0.055
0.588	280.90	0.056
0.589	280.91	0.056
0.590	280.92	0.056
0.591	280.93	0.056
0.592	280.93	0.056
0.593	280.94	0.056
0.594	280.95	0.056
0.595	280.96	0.057
0.596	280.97	0.057
0.597	280.97	0.057
0.598	280.98	0.057
0.599	280.99	0.057
0.600	281.00	0.057
0.601	281.01	0.058
0.602	281.02	0.058
0.603	281.03	0.058
0.604	281.04	0.058
0.605	281.04	0.058
0.606	281.05	0.058
0.607	281.06	0.059
0.608	281.07	0.059
0.609	281.08	0.059
0.610	281.09	0.059
0.611	281.10	0.059
0.612	281.11	0.060
0.613	281.12	0.060
0.614	281.13	0.060
0.615	281.14	0.060
0.616	281.14	0.060
0.617	281.15	0.060
0.618	281.16	0.060
0.619	281.17	0.061
0.620	281.17	0.061
0.621	281.18	0.061
0.622	281.18	0.061
0.623	281.18	0.061
0.624	281.19	0.061
0.625	281.19	0.061
0.626	281.19	0.061
0.627	281.19	0.061
0.628	281.20	0.061
0.629	281.20	0.061
0.630	281.20	0.061
0.631	281.19	0.061
0.632	281.19	0.061
0.633	281.19	0.061
0.634	281.19	0.061
0.635	281.19	0.061
0.636	281.18	0.061
0.637	281.18	0.061
0.638	281.18	0.061
0.639	281.17	0.061
0.640	281.17	0.061
0.641	281.16	0.060
0.642	281.15	0.060
0.643	281.15	0.060
0.644	281.14	0.060
0.645	281.13	0.060
0.646	281.13	0.060
0.647	281.12	0.060
0.648	281.11	0.060
0.649	281.10	0.059
0.650	281.09	0.059
0.651	281.08	0.059
0.652	281.08	0.059
0.653	281.07	0.059
0.654	281.06	0.059
0.655	281.05	0.058
0.656	281.04	0.058
0.657	281.03	0.058
0.658	281.02	0.058
0.659	281.02	0.058
0.660	281.01	0.058
0.661	281.00	0.057
0.662	281.00	0.057
0.663	280.99	0.057
0.664	280.98	0.057
0.665	280.98	0.057
0.666	280.97	0.057
0.667	280.97	0.057
0.668	280.97	0.057
0.669	280.96	0.057
0.670	280.96	0.057
0.671	280.96	0.057
0.672	280.96	0.057
0.673	280.96	0.057
0.674	280.96	0.057
0.675	280.96	0.057
0.676	280.97	0.057
0.677	280.97	0.057
0.678	280.98	0.057
0.679	280.98	0.057
0.680	280.99	0.057
0.681	280.99	0.057
0.682	281.00	0.057
0.683	281.01	0.058
0.684	281.02	0.058
0.685	281.02	0.058
0.686	281.03	0.058
0.687	281.04	0.058
0.688	281.05	0.058
0.689	281.06	0.059
0.690	281.07	0.059
0.691	281.08	0.059
0.692	281.10	0.059
0.693	281.11	0.059
0.694	281.12	0.060
0.695	281.13	0.060
0.696	281.14	0.060
0.697	281.16	0.060
0.698	281.17	0.061
0.699	281.18	0.061
0.700	281.20	0.061
0.701	281.21	0.061
0.702	281.23	0.062
0.703	281.24	0.062
0.704	281.26	0.062
0.705	281.27	0.063
0.706	281.29	0.063
0.707	281.31	0.063
0.708	281.33	0.064
0.709	281.35	0.064
0.710	281.36	0.064
0.711	281.38	0.065
0.712	281.41	0.065
0.713	281.43	0.066
0.714	281.45	0.066
0.715	281.47	0.066
0.716	281.49	0.067
0.717	281.52	0.067
0.718	281.54	0.068
0.719	281.56	0.068
0.720	281.59	0.069
0.721	281.61	0.069
0.722	281.64	0.070
0.723	281.66	0.070
0.724	281.69	0.070
0.725	281.71	0.071
0.726	281.74	0.071
0.727	281.76	0.072
0.728	281.79	0.072
0.729	281.81	0.073
0.730	281.84	0.073
0.731	281.86	0.074
0.732	281.88	0.074
0.733	281.91	0.075
0.734	281.93	0.075
0.735	281.96	0.076
0.736	281.98	0.076
0.737	282.00	0.076
0.738	282.02	0.077
0.739	282.05	0.077
0.740	282.07	0.078
0.741	282.09	0.078
0.742	282.11	0.078
0.743	282.13	0.079
0.744	282.15	0.079
0.745	282.17	0.080
0.746	282.18	0.080
0.747	282.20	0.080
0.748	282.22	0.081
0.749	282.23	0.081
0.750	282.25	0.081
0.751	282.26	0.081
0.752	282.28	0.082
0.753	282.29	0.082
0.754	282.31	0.082
0.755	282.32	0.082
0.756	282.33	0.083
0.757	282.35	0.083
0.758	282.36	0.083
0.759	282.37	0.083
0.760	282.38	0.084
0.761	282.39	0.084
0.762	282.41	0.084
0.763	282.42	0.084
0.764	282.43	0.085
0.765	282.44	0.085
0.766	282.45	0.085
0.767	282.46	0.085
0.768	282.47	0.085
0.769	282.48	0.086
0.770	282.49	0.086
0.771	282.50	0.086
0.772	282.51	0.086
0.773	282.52	0.086
0.774	282.53	0.086
0.775	282.54	0.087
0.776	282.54	0.087
0.777	282.55	0.087
0.778	282.56	0.087
0.779	282.56	0.087
0.780	282.57	0.087
0.781	282.58	0.087
0.782	282.58	0.087
0.783	282.59	0.088
0.784	282.60	0.088
0.785	282.60	0.088
0.786	282.61	0.088
0.787	282.61	0.088
0.788	282.61	0.088
0.789	282.62	0.088
0.790	282.62	0.088
0.791	282.62	0.088
0.792	282.63	0.088
0.793	282.63	0.088
0.794	282.63	0.088
0.795	282.63	0.088
0.796	282.64	0.088
0.797	282.64	0.089
0.798	282.64	0.089
0.799	282.64	0.089
0.800	282.64	0.089
0.801	282.64	0.089
0.802	282.64	0.089
0.803	282.64	0.089
0.804	282.64	0.089
0.805	282.64	0.089
0.806	282.64	0.089
0.807	282.64	0.089
0.808	282.64	0.089
0.809	282.64	0.089
0.810	282.64	0.089
0.811	282.64	0.089
0.812	282.64	0.088
0.813	282.64	0.088
0.814	282.63	0.088
0.815	282.63	0.088
0.816	282.63	0.088
0.817	282.63	0.088
0.818	282.63	0.088
0.819	282.63	0.088
0.820	282.63	0.088
0.821	282.63	0.088
0.822	282.63	0.088
0.823	282.63	0.088
0.824	282.63	0.088
0.825	282.62	0.088
0.826	282.62	0.088
0.827	282.62	0.088
0.828	282.62	0.088
0.829	282.62	0.088
0.830	282.62	0.088
0.831	282.61	0.088
0.832	282.61	0.088
0.833	282.61	0.088
0.834	282.61	0.088
0.835	282.60	0.088
0.836	282.60	0.088
0.837	282.59	0.088
0.838	282.59	0.088
0.839	282.58	0.087
0.840	282.58	0.087
0.841	282.57	0.087
0.842	282.57	0.087
0.843	282.56	0.087
0.844	282.55	0.087
0.845	282.54	0.087
0.846	282.54	0.087
0.847	282.53	0.086
0.848	282.52	0.086
0.849	282.51	0.086
0.850	282.50	0.086
0.851	282.48	0.086
0.852	282.47	0.085
0.853	282.46	0.085
0.854	282.45	0.085
0.855	282.43	0.085
0.856	282.42	0.084
0.857	282.40	0.084
0.858	282.39	0.084
0.859	282.37	0.083
0.860	282.35	0.083
0.861	282.33	0.083
0.862	282.31	0.082
0.863	282.29	0.082
0.864	282.27	0.082
0.865	282.25	0.081
0.866	282.23	0.081
0.867	282.20	0.080
0.868	282.18	0.080
0.869	282.16	0.079
0.870	282.13	0.079
0.871	282.10	0.078
0.872	282.08	0.078
0.873	282.05	0.077
0.874	282.02	0.077
0.875	281.99	0.076
0.876	281.96	0.076
0.877	281.93	0.075
0.878	281.90	0.074
0.879	281.86	0.074
0.880	281.83	0.073
0.881	281.80	0.073
0.882	281.76	0.072
0.883	281.72	0.071
0.884	281.69	0.071
0.885	281.65	0.070
0.886	281.61	0.069
0.887	281.58	0.068
0.888	281.54	0.068
0.889	281.50	0.067
0.890	281.46	0.066
0.891	281.42	0.065
0.892	281.38	0.065
0.893	281.34	0.064
0.894	281.30	0.063
0.895	281.26	0.062
