/* DATA DESCRIPTION:
Citation:	Köhler, Peter; Nehrbass-Ahles, Christoph; Schmitt, Jochen; Stocker, Thomas F; Fischer, Hubertus (2017): Continuous record of the atmospheric greenhouse gas methane (CH4), final spline-smoothed data of calculated radiative forcing (Version 1) [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.871270, 
	In supplement to: Köhler, P et al. (2017): A 156 kyr smoothed history of the atmospheric greenhouse gases CO2, CH4, and N2O and their radiative forcing. Earth System Science Data, 9(1), 363-387, https://doi.org/10.5194/essd-9-363-2017
New version:	Köhler, Peter; Nehrbass-Ahles, Christoph; Schmitt, Jochen; Stocker, Thomas F; Fischer, Hubertus (2017): Continuous record of the atmospheric greenhouse gas methane (CH4), final spline-smoothed data of calculated radiative forcing (Version 2). PANGAEA, https://doi.org/10.1594/PANGAEA.876009
Related to:	Köhler, Peter; Nehrbass-Ahles, Christoph; Schmitt, Jochen; Stocker, Thomas F; Fischer, Hubertus (2017): Continuous records of the atmospheric greenhouse gases CO2, CH4, and N2O and their radiative forcing since the penultimate glacial maximum. Earth System Science Data Discussions, https://doi.org/10.5194/essd-2017-6
Comment:	Final spline with 156278 lines (-66 BP to 156211 BP).
Parameter(s):	AGE [ka BP] (Age) * GEOCODE * PI: Köhler, Peter (https://orcid.org/0000-0003-0904-8484, Peter.Koehler@awi.de, http://www.awi.de/en/about-us/organisation/staff/peter-koehler.html)
	Methane, dry-air mole fraction [nmol/mol] (CH4) * PI: Köhler, Peter (https://orcid.org/0000-0003-0904-8484, Peter.Koehler@awi.de, http://www.awi.de/en/about-us/organisation/staff/peter-koehler.html) * COMMENT: nmol/mol = ppb
	Radiative forcing of atmospheric methane [W/m**2] (dR_[CH4]) * PI: Köhler, Peter (https://orcid.org/0000-0003-0904-8484, Peter.Koehler@awi.de, http://www.awi.de/en/about-us/organisation/staff/peter-koehler.html) * COMMENT: = 1.4 * 0.036 * (sqrt(CH4/ppb)-sqrt(742))
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	312556 data points
*/
Age [ka BP]	CH4 [nmol/mol]	dR_[CH4] [W/m**2]
0.013	1061.26	0.269
0.014	1055.62	0.265
0.015	1049.43	0.260
0.016	1043.32	0.255
0.017	1037.97	0.251
0.018	1033.20	0.247
0.019	1028.61	0.244
0.020	1023.82	0.240
0.021	1018.54	0.236
0.022	1013.25	0.231
0.023	1008.60	0.228
0.024	1004.46	0.224
0.025	1000.47	0.221
0.026	995.94	0.218
0.027	990.80	0.214
0.028	985.03	0.209
0.029	978.46	0.204
0.030	970.90	0.198
0.031	962.30	0.191
0.032	953.36	0.183
0.033	945.27	0.177
0.034	939.03	0.172
0.035	934.91	0.168
0.036	932.87	0.166
0.037	932.43	0.166
0.038	932.92	0.167
0.039	933.01	0.167
0.040	930.69	0.165
0.041	924.59	0.160
0.042	916.12	0.153
0.043	907.37	0.145
0.044	899.91	0.139
0.045	893.35	0.134
0.046	887.44	0.129
0.047	882.53	0.124
0.048	878.88	0.121
0.049	876.00	0.119
0.050	873.36	0.117
0.051	870.61	0.114
0.052	867.91	0.112
0.053	865.58	0.110
0.054	863.71	0.108
0.055	861.59	0.107
0.056	858.60	0.104
0.057	855.42	0.101
0.058	853.27	0.099
0.059	851.98	0.098
0.060	851.09	0.097
0.061	850.29	0.097
0.062	849.80	0.096
0.063	849.70	0.096
0.064	849.08	0.096
0.065	847.16	0.094
0.066	844.15	0.091
0.067	841.25	0.089
0.068	838.71	0.087
0.069	836.55	0.085
0.070	834.80	0.083
0.071	833.47	0.082
0.072	832.52	0.081
0.073	831.71	0.081
0.074	830.73	0.080
0.075	829.30	0.079
0.076	827.22	0.077
0.077	824.83	0.075
0.078	822.51	0.073
0.079	820.64	0.071
0.080	819.64	0.070
0.081	819.67	0.070
0.082	819.57	0.070
0.083	818.21	0.069
0.084	815.55	0.066
0.085	811.87	0.063
0.086	807.53	0.059
0.087	803.25	0.056
0.088	799.67	0.052
0.089	796.78	0.050
0.090	794.36	0.048
0.091	792.28	0.046
0.092	790.67	0.044
0.093	789.72	0.043
0.094	789.62	0.043
0.095	790.36	0.044
0.096	791.45	0.045
0.097	793.18	0.047
0.098	795.40	0.049
0.099	796.67	0.050
0.100	795.39	0.049
0.101	790.90	0.045
0.102	786.26	0.040
0.103	783.45	0.038
0.104	782.29	0.037
0.105	781.71	0.036
0.106	780.70	0.035
0.107	779.31	0.034
0.108	777.84	0.033
0.109	776.52	0.032
0.110	775.32	0.030
0.111	774.12	0.029
0.112	772.82	0.028
0.113	771.35	0.027
0.114	769.64	0.025
0.115	767.68	0.024
0.116	766.14	0.022
0.117	765.24	0.021
0.118	764.78	0.021
0.119	764.55	0.021
0.120	764.30	0.020
0.121	763.82	0.020
0.122	762.88	0.019
0.123	761.32	0.018
0.124	759.35	0.016
0.125	757.11	0.014
0.126	754.77	0.012
0.127	752.47	0.010
0.128	750.35	0.008
0.129	748.56	0.006
0.130	747.20	0.005
0.131	746.25	0.004
0.132	745.65	0.003
0.133	745.35	0.003
0.134	745.27	0.003
0.135	745.37	0.003
0.136	745.58	0.003
0.137	745.86	0.004
0.138	746.16	0.004
0.139	746.45	0.004
0.140	746.68	0.004
0.141	746.81	0.004
0.142	746.79	0.004
0.143	746.58	0.004
0.144	746.14	0.004
0.145	745.41	0.003
0.146	744.37	0.002
0.147	742.97	0.001
0.148	741.15	-0.001
0.149	738.89	-0.003
0.150	736.15	-0.005
0.151	733.13	-0.008
0.152	730.25	-0.011
0.153	727.94	-0.013
0.154	726.47	-0.014
0.155	725.68	-0.015
0.156	725.37	-0.015
0.157	725.46	-0.015
0.158	725.87	-0.015
0.159	726.52	-0.014
0.160	727.34	-0.014
0.161	728.25	-0.013
0.162	729.16	-0.012
0.163	730.00	-0.011
0.164	730.69	-0.011
0.165	731.15	-0.010
0.166	731.32	-0.010
0.167	731.26	-0.010
0.168	731.05	-0.010
0.169	730.79	-0.010
0.170	730.55	-0.011
0.171	730.33	-0.011
0.172	730.11	-0.011
0.173	729.86	-0.011
0.174	729.57	-0.012
0.175	729.21	-0.012
0.176	728.77	-0.012
0.177	728.22	-0.013
0.178	727.55	-0.013
0.179	726.73	-0.014
0.180	725.75	-0.015
0.181	724.64	-0.016
0.182	723.45	-0.017
0.183	722.22	-0.018
0.184	720.98	-0.020
0.185	719.78	-0.021
0.186	718.67	-0.022
0.187	717.67	-0.023
0.188	716.82	-0.023
0.189	716.11	-0.024
0.190	715.51	-0.025
0.191	714.98	-0.025
0.192	714.50	-0.026
0.193	714.04	-0.026
0.194	713.58	-0.027
0.195	713.08	-0.027
0.196	712.51	-0.028
0.197	711.86	-0.028
0.198	711.09	-0.029
0.199	710.23	-0.030
0.200	709.32	-0.031
0.201	708.37	-0.031
0.202	707.43	-0.032
0.203	706.53	-0.033
0.204	705.69	-0.034
0.205	704.95	-0.035
0.206	704.32	-0.035
0.207	703.79	-0.036
0.208	703.34	-0.036
0.209	702.92	-0.037
0.210	702.52	-0.037
0.211	702.10	-0.037
0.212	701.64	-0.038
0.213	701.10	-0.038
0.214	700.47	-0.039
0.215	699.71	-0.040
0.216	698.85	-0.041
0.217	697.92	-0.041
0.218	696.95	-0.042
0.219	695.97	-0.043
0.220	695.01	-0.044
0.221	694.09	-0.045
0.222	693.26	-0.046
0.223	692.53	-0.047
0.224	691.94	-0.047
0.225	691.46	-0.048
0.226	691.08	-0.048
0.227	690.78	-0.048
0.228	690.53	-0.048
0.229	690.32	-0.049
0.230	690.12	-0.049
0.231	689.91	-0.049
0.232	689.68	-0.049
0.233	689.41	-0.050
0.234	689.10	-0.050
0.235	688.77	-0.050
0.236	688.43	-0.050
0.237	688.09	-0.051
0.238	687.76	-0.051
0.239	687.47	-0.051
0.240	687.21	-0.052
0.241	687.01	-0.052
0.242	686.87	-0.052
0.243	686.80	-0.052
0.244	686.78	-0.052
0.245	686.81	-0.052
0.246	686.89	-0.052
0.247	687.02	-0.052
0.248	687.19	-0.052
0.249	687.39	-0.051
0.250	687.63	-0.051
0.251	687.89	-0.051
0.252	688.19	-0.051
0.253	688.54	-0.050
0.254	688.95	-0.050
0.255	689.42	-0.050
0.256	689.96	-0.049
0.257	690.59	-0.048
0.258	691.32	-0.048
0.259	692.15	-0.047
0.260	693.08	-0.046
0.261	694.09	-0.045
0.262	695.12	-0.044
0.263	696.15	-0.043
0.264	697.11	-0.042
0.265	697.98	-0.041
0.266	698.71	-0.041
0.267	699.26	-0.040
0.268	699.60	-0.040
0.269	699.75	-0.040
0.270	699.73	-0.040
0.271	699.59	-0.040
0.272	699.36	-0.040
0.273	699.07	-0.040
0.274	698.75	-0.041
0.275	698.44	-0.041
0.276	698.15	-0.041
0.277	697.89	-0.041
0.278	697.63	-0.042
0.279	697.35	-0.042
0.280	697.03	-0.042
0.281	696.66	-0.043
0.282	696.22	-0.043
0.283	695.69	-0.044
0.284	695.05	-0.044
0.285	694.29	-0.045
0.286	693.39	-0.046
0.287	692.39	-0.047
0.288	691.35	-0.048
0.289	690.29	-0.049
0.290	689.28	-0.050
0.291	688.36	-0.051
0.292	687.57	-0.051
0.293	686.96	-0.052
0.294	686.56	-0.052
0.295	686.37	-0.052
0.296	686.37	-0.052
0.297	686.53	-0.052
0.298	686.82	-0.052
0.299	687.24	-0.052
0.300	687.75	-0.051
0.301	688.34	-0.051
0.302	688.97	-0.050
0.303	689.64	-0.049
0.304	690.33	-0.049
0.305	691.02	-0.048
0.306	691.71	-0.047
0.307	692.38	-0.047
0.308	693.03	-0.046
0.309	693.63	-0.046
0.310	694.18	-0.045
0.311	694.67	-0.045
0.312	695.10	-0.044
0.313	695.46	-0.044
0.314	695.75	-0.043
0.315	695.96	-0.043
0.316	696.10	-0.043
0.317	696.16	-0.043
0.318	696.14	-0.043
0.319	696.05	-0.043
0.320	695.86	-0.043
0.321	695.59	-0.044
0.322	695.25	-0.044
0.323	694.83	-0.044
0.324	694.36	-0.045
0.325	693.83	-0.045
0.326	693.26	-0.046
0.327	692.65	-0.046
0.328	692.02	-0.047
0.329	691.37	-0.048
0.330	690.71	-0.048
0.331	690.06	-0.049
0.332	689.45	-0.050
0.333	688.88	-0.050
0.334	688.38	-0.051
0.335	687.97	-0.051
0.336	687.67	-0.051
0.337	687.50	-0.051
0.338	687.45	-0.051
0.339	687.46	-0.051
0.340	687.42	-0.051
0.341	687.26	-0.052
0.342	686.90	-0.052
0.343	686.40	-0.052
0.344	685.83	-0.053
0.345	685.28	-0.054
0.346	684.82	-0.054
0.347	684.50	-0.054
0.348	684.30	-0.054
0.349	684.15	-0.055
0.350	684.01	-0.055
0.351	683.87	-0.055
0.352	683.75	-0.055
0.353	683.65	-0.055
0.354	683.59	-0.055
0.355	683.57	-0.055
0.356	683.60	-0.055
0.357	683.69	-0.055
0.358	683.83	-0.055
0.359	684.04	-0.055
0.360	684.31	-0.054
0.361	684.60	-0.054
0.362	684.92	-0.054
0.363	685.24	-0.054
0.364	685.56	-0.053
0.365	685.92	-0.053
0.366	686.34	-0.052
0.367	686.86	-0.052
0.368	687.53	-0.051
0.369	688.37	-0.051
0.370	689.36	-0.050
0.371	690.45	-0.049
0.372	691.61	-0.047
0.373	692.81	-0.046
0.374	694.03	-0.045
0.375	695.31	-0.044
0.376	696.72	-0.043
0.377	698.33	-0.041
0.378	700.17	-0.039
0.379	702.16	-0.037
0.380	704.16	-0.035
0.381	706.07	-0.034
0.382	707.79	-0.032
0.383	709.32	-0.031
0.384	710.68	-0.029
0.385	711.91	-0.028
0.386	713.01	-0.027
0.387	714.01	-0.026
0.388	714.89	-0.025
0.389	715.67	-0.025
0.390	716.34	-0.024
0.391	716.91	-0.023
0.392	717.40	-0.023
0.393	717.84	-0.023
0.394	718.27	-0.022
0.395	718.71	-0.022
0.396	719.15	-0.021
0.397	719.57	-0.021
0.398	719.96	-0.021
0.399	720.31	-0.020
0.400	720.59	-0.020
0.401	720.79	-0.020
0.402	720.90	-0.020
0.403	720.91	-0.020
0.404	720.79	-0.020
0.405	720.56	-0.020
0.406	720.25	-0.020
0.407	719.86	-0.021
0.408	719.40	-0.021
0.409	718.91	-0.022
0.410	718.39	-0.022
0.411	717.85	-0.023
0.412	717.32	-0.023
0.413	716.81	-0.024
0.414	716.34	-0.024
0.415	715.92	-0.024
0.416	715.57	-0.025
0.417	715.31	-0.025
0.418	715.14	-0.025
0.419	715.05	-0.025
0.420	715.01	-0.025
0.421	714.99	-0.025
0.422	714.98	-0.025
0.423	714.95	-0.025
0.424	714.87	-0.025
0.425	714.71	-0.025
0.426	714.47	-0.026
0.427	714.15	-0.026
0.428	713.76	-0.026
0.429	713.31	-0.027
0.430	712.82	-0.027
0.431	712.31	-0.028
0.432	711.78	-0.028
0.433	711.26	-0.029
0.434	710.75	-0.029
0.435	710.28	-0.030
0.436	709.84	-0.030
0.437	709.43	-0.030
0.438	709.04	-0.031
0.439	708.64	-0.031
0.440	708.21	-0.032
0.441	707.76	-0.032
0.442	707.25	-0.033
0.443	706.67	-0.033
0.444	706.01	-0.034
0.445	705.27	-0.034
0.446	704.45	-0.035
0.447	703.55	-0.036
0.448	702.57	-0.037
0.449	701.52	-0.038
0.450	700.40	-0.039
0.451	699.21	-0.040
0.452	697.96	-0.041
0.453	696.64	-0.043
0.454	695.29	-0.044
0.455	693.93	-0.045
0.456	692.60	-0.046
0.457	691.32	-0.048
0.458	690.13	-0.049
0.459	689.05	-0.050
0.460	688.11	-0.051
0.461	687.34	-0.052
0.462	686.77	-0.052
0.463	686.36	-0.052
0.464	686.08	-0.053
0.465	685.88	-0.053
0.466	685.74	-0.053
0.467	685.62	-0.053
0.468	685.46	-0.053
0.469	685.25	-0.054
0.470	684.94	-0.054
0.471	684.50	-0.054
0.472	683.95	-0.055
0.473	683.33	-0.055
0.474	682.67	-0.056
0.475	681.99	-0.057
0.476	681.34	-0.057
0.477	680.73	-0.058
0.478	680.21	-0.058
0.479	679.80	-0.059
0.480	679.53	-0.059
0.481	679.38	-0.059
0.482	679.35	-0.059
0.483	679.41	-0.059
0.484	679.55	-0.059
0.485	679.75	-0.059
0.486	679.99	-0.059
0.487	680.27	-0.058
0.488	680.55	-0.058
0.489	680.85	-0.058
0.490	681.14	-0.058
0.491	681.43	-0.057
0.492	681.70	-0.057
0.493	681.95	-0.057
0.494	682.19	-0.056
0.495	682.39	-0.056
0.496	682.55	-0.056
0.497	682.67	-0.056
0.498	682.75	-0.056
0.499	682.78	-0.056
0.500	682.77	-0.056
0.501	682.73	-0.056
0.502	682.65	-0.056
0.503	682.55	-0.056
0.504	682.42	-0.056
0.505	682.28	-0.056
0.506	682.12	-0.057
0.507	681.95	-0.057
0.508	681.77	-0.057
0.509	681.59	-0.057
0.510	681.41	-0.057
0.511	681.22	-0.057
0.512	681.04	-0.058
0.513	680.87	-0.058
0.514	680.71	-0.058
0.515	680.56	-0.058
0.516	680.41	-0.058
0.517	680.27	-0.058
0.518	680.11	-0.058
0.519	679.95	-0.059
0.520	679.77	-0.059
0.521	679.57	-0.059
0.522	679.33	-0.059
0.523	679.07	-0.060
0.524	678.76	-0.060
0.525	678.43	-0.060
0.526	678.07	-0.060
0.527	677.72	-0.061
0.528	677.38	-0.061
0.529	677.06	-0.061
0.530	676.77	-0.062
0.531	676.53	-0.062
0.532	676.35	-0.062
0.533	676.24	-0.062
0.534	676.21	-0.062
0.535	676.25	-0.062
0.536	676.37	-0.062
0.537	676.56	-0.062
0.538	676.83	-0.062
0.539	677.18	-0.061
0.540	677.60	-0.061
0.541	678.10	-0.060
0.542	678.67	-0.060
0.543	679.31	-0.059
0.544	679.97	-0.059
0.545	680.64	-0.058
0.546	681.30	-0.057
0.547	681.92	-0.057
0.548	682.48	-0.056
0.549	682.95	-0.056
0.550	683.32	-0.055
0.551	683.61	-0.055
0.552	683.83	-0.055
0.553	684.01	-0.055
0.554	684.16	-0.055
0.555	684.31	-0.054
0.556	684.47	-0.054
0.557	684.67	-0.054
0.558	684.93	-0.054
0.559	685.26	-0.054
0.560	685.69	-0.053
0.561	686.19	-0.053
0.562	686.71	-0.052
0.563	687.24	-0.052
0.564	687.74	-0.051
0.565	688.18	-0.051
0.566	688.52	-0.050
0.567	688.73	-0.050
0.568	688.79	-0.050
0.569	688.71	-0.050
0.570	688.51	-0.050
0.571	688.22	-0.051
0.572	687.84	-0.051
0.573	687.42	-0.051
0.574	686.96	-0.052
0.575	686.48	-0.052
0.576	686.02	-0.053
0.577	685.58	-0.053
0.578	685.16	-0.054
0.579	684.77	-0.054
0.580	684.39	-0.054
0.581	684.03	-0.055
0.582	683.67	-0.055
0.583	683.32	-0.055
0.584	682.97	-0.056
0.585	682.61	-0.056
0.586	682.24	-0.056
0.587	681.86	-0.057
0.588	681.48	-0.057
0.589	681.10	-0.058
0.590	680.73	-0.058
0.591	680.38	-0.058
0.592	680.06	-0.059
0.593	679.77	-0.059
0.594	679.53	-0.059
0.595	679.34	-0.059
0.596	679.20	-0.059
0.597	679.11	-0.059
0.598	679.07	-0.060
0.599	679.07	-0.060
0.600	679.11	-0.059
0.601	679.18	-0.059
0.602	679.30	-0.059
0.603	679.44	-0.059
0.604	679.62	-0.059
0.605	679.83	-0.059
0.606	680.05	-0.059
0.607	680.29	-0.058
0.608	680.53	-0.058
0.609	680.78	-0.058
0.610	681.02	-0.058
0.611	681.26	-0.057
0.612	681.47	-0.057
0.613	681.67	-0.057
0.614	681.86	-0.057
0.615	682.05	-0.057
0.616	682.26	-0.056
0.617	682.50	-0.056
0.618	682.77	-0.056
0.619	683.10	-0.056
0.620	683.49	-0.055
0.621	683.95	-0.055
0.622	684.50	-0.054
0.623	685.11	-0.054
0.624	685.77	-0.053
0.625	686.44	-0.052
0.626	687.10	-0.052
0.627	687.74	-0.051
0.628	688.31	-0.051
0.629	688.81	-0.050
0.630	689.21	-0.050
0.631	689.53	-0.049
0.632	689.77	-0.049
0.633	689.95	-0.049
0.634	690.10	-0.049
0.635	690.21	-0.049
0.636	690.32	-0.049
0.637	690.42	-0.049
0.638	690.55	-0.048
0.639	690.70	-0.048
0.640	690.87	-0.048
0.641	691.02	-0.048
0.642	691.15	-0.048
0.643	691.24	-0.048
0.644	691.25	-0.048
0.645	691.17	-0.048
0.646	690.98	-0.048
0.647	690.66	-0.048
0.648	690.20	-0.049
0.649	689.61	-0.049
0.650	688.91	-0.050
0.651	688.12	-0.051
0.652	687.28	-0.052
0.653	686.39	-0.052
0.654	685.49	-0.053
0.655	684.59	-0.054
0.656	683.72	-0.055
0.657	682.89	-0.056
0.658	682.13	-0.057
0.659	681.42	-0.057
0.660	680.78	-0.058
0.661	680.20	-0.058
0.662	679.70	-0.059
0.663	679.29	-0.059
0.664	678.95	-0.060
0.665	678.71	-0.060
0.666	678.54	-0.060
0.667	678.46	-0.060
0.668	678.44	-0.060
0.669	678.48	-0.060
0.670	678.58	-0.060
0.671	678.72	-0.060
0.672	678.90	-0.060
0.673	679.12	-0.059
0.674	679.36	-0.059
0.675	679.60	-0.059
0.676	679.84	-0.059
0.677	680.06	-0.059
0.678	680.23	-0.058
0.679	680.35	-0.058
0.680	680.39	-0.058
0.681	680.34	-0.058
0.682	680.18	-0.058
0.683	679.90	-0.059
0.684	679.48	-0.059
0.685	678.97	-0.060
0.686	678.39	-0.060
0.687	677.79	-0.061
0.688	677.21	-0.061
0.689	676.69	-0.062
0.690	676.27	-0.062
0.691	675.98	-0.063
0.692	675.86	-0.063
0.693	675.88	-0.063
0.694	676.02	-0.062
0.695	676.24	-0.062
0.696	676.52	-0.062
0.697	676.82	-0.062
0.698	677.11	-0.061
0.699	677.37	-0.061
0.700	677.56	-0.061
0.701	677.70	-0.061
0.702	677.80	-0.061
0.703	677.86	-0.061
0.704	677.90	-0.061
0.705	677.94	-0.061
0.706	677.97	-0.061
0.707	678.03	-0.061
0.708	678.11	-0.060
0.709	678.23	-0.060
0.710	678.37	-0.060
0.711	678.53	-0.060
0.712	678.69	-0.060
0.713	678.84	-0.060
0.714	678.97	-0.060
0.715	679.06	-0.060
0.716	679.10	-0.059
0.717	679.07	-0.060
0.718	678.99	-0.060
0.719	678.84	-0.060
0.720	678.67	-0.060
0.721	678.48	-0.060
0.722	678.31	-0.060
0.723	678.17	-0.060
0.724	678.08	-0.060
0.725	678.06	-0.060
0.726	678.14	-0.060
0.727	678.31	-0.060
0.728	678.55	-0.060
0.729	678.87	-0.060
0.730	679.26	-0.059
0.731	679.70	-0.059
0.732	680.19	-0.058
0.733	680.72	-0.058
0.734	681.28	-0.057
0.735	681.87	-0.057
0.736	682.49	-0.056
0.737	683.14	-0.056
0.738	683.81	-0.055
0.739	684.52	-0.054
0.740	685.26	-0.054
0.741	686.04	-0.053
0.742	686.85	-0.052
0.743	687.70	-0.051
0.744	688.59	-0.050
0.745	689.50	-0.049
0.746	690.40	-0.049
0.747	691.27	-0.048
0.748	692.09	-0.047
0.749	692.84	-0.046
0.750	693.49	-0.046
0.751	694.02	-0.045
0.752	694.41	-0.045
0.753	694.65	-0.045
0.754	694.74	-0.044
0.755	694.72	-0.044
0.756	694.61	-0.045
0.757	694.43	-0.045
0.758	694.21	-0.045
0.759	693.98	-0.045
0.760	693.74	-0.045
0.761	693.51	-0.046
0.762	693.30	-0.046
0.763	693.09	-0.046
0.764	692.91	-0.046
0.765	692.74	-0.046
0.766	692.58	-0.047
0.767	692.46	-0.047
0.768	692.35	-0.047
0.769	692.27	-0.047
0.770	692.22	-0.047
0.771	692.18	-0.047
0.772	692.17	-0.047
0.773	692.18	-0.047
0.774	692.20	-0.047
0.775	692.24	-0.047
0.776	692.30	-0.047
0.777	692.36	-0.047
0.778	692.44	-0.047
0.779	692.52	-0.047
0.780	692.61	-0.046
0.781	692.69	-0.046
0.782	692.77	-0.046
0.783	692.84	-0.046
0.784	692.89	-0.046
0.785	692.92	-0.046
0.786	692.92	-0.046
0.787	692.89	-0.046
0.788	692.84	-0.046
0.789	692.75	-0.046
0.790	692.64	-0.046
0.791	692.50	-0.047
0.792	692.34	-0.047
0.793	692.16	-0.047
0.794	691.96	-0.047
0.795	691.74	-0.047
0.796	691.50	-0.048
0.797	691.25	-0.048
0.798	690.99	-0.048
0.799	690.74	-0.048
0.800	690.49	-0.049
0.801	690.26	-0.049
0.802	690.05	-0.049
0.803	689.87	-0.049
0.804	689.71	-0.049
0.805	689.55	-0.049
0.806	689.36	-0.050
0.807	689.15	-0.050
0.808	688.90	-0.050
0.809	688.60	-0.050
0.810	688.25	-0.051
0.811	687.85	-0.051
0.812	687.37	-0.052
0.813	686.84	-0.052
0.814	686.31	-0.053
0.815	685.82	-0.053
0.816	685.36	-0.053
0.817	684.95	-0.054
0.818	684.59	-0.054
0.819	684.29	-0.054
0.820	684.06	-0.055
0.821	683.90	-0.055
0.822	683.83	-0.055
0.823	683.83	-0.055
0.824	683.89	-0.055
0.825	684.02	-0.055
0.826	684.19	-0.055
0.827	684.40	-0.054
0.828	684.64	-0.054
0.829	684.90	-0.054
0.830	685.18	-0.054
0.831	685.47	-0.053
0.832	685.75	-0.053
0.833	686.01	-0.053
0.834	686.25	-0.053
0.835	686.47	-0.052
0.836	686.64	-0.052
0.837	686.76	-0.052
0.838	686.83	-0.052
0.839	686.84	-0.052
0.840	686.82	-0.052
0.841	686.78	-0.052
0.842	686.71	-0.052
0.843	686.64	-0.052
0.844	686.56	-0.052
0.845	686.50	-0.052
